movieId,title,genres,year
1,Toy Story ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995
2,Jumanji ,"['Adventure', 'Children', 'Fantasy']",1995
3,Grumpier Old Men ,"['Comedy', 'Romance']",1995
6,Heat ,"['Action', 'Crime', 'Thriller']",1995
7,Sabrina ,"['Comedy', 'Romance']",1995
10,GoldenEye ,"['Action', 'Adventure', 'Thriller']",1995
11,"American President, The ","['Comedy', 'Drama', 'Romance']",1995
16,Casino ,"['Crime', 'Drama']",1995
17,Sense and Sensibility ,"['Drama', 'Romance']",1995
19,Ace Ventura: When Nature Calls ,['Comedy'],1995
21,Get Shorty ,"['Comedy', 'Crime', 'Thriller']",1995
25,Leaving Las Vegas ,"['Drama', 'Romance']",1995
32,Twelve Monkeys (a.k.a. 12 Monkeys) ,"['Mystery', 'Sci-Fi', 'Thriller']",1995
34,Babe ,"['Children', 'Drama']",1995
36,Dead Man Walking ,"['Crime', 'Drama']",1995
39,Clueless ,"['Comedy', 'Romance']",1995
47,Seven (a.k.a. Se7en) ,"['Mystery', 'Thriller']",1995
48,Pocahontas ,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995
50,"Usual Suspects, The ","['Crime', 'Mystery', 'Thriller']",1995
62,Mr. Holland's Opus ,['Drama'],1995
70,From Dusk Till Dawn ,"['Action', 'Comedy', 'Horror', 'Thriller']",1996
95,Broken Arrow ,"['Action', 'Adventure', 'Thriller']",1996
104,Happy Gilmore ,['Comedy'],1996
110,Braveheart ,"['Action', 'Drama', 'War']",1995
111,Taxi Driver ,"['Crime', 'Drama', 'Thriller']",1976
141,"Birdcage, The ",['Comedy'],1996
145,Bad Boys ,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995
150,Apollo 13 ,"['Adventure', 'Drama', 'IMAX']",1995
153,Batman Forever ,"['Action', 'Adventure', 'Comedy', 'Crime']",1995
158,Casper ,"['Adventure', 'Children']",1995
160,Congo ,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",1995
161,Crimson Tide ,"['Drama', 'Thriller', 'War']",1995
163,Desperado ,"['Action', 'Romance', 'Western']",1995
165,Die Hard: With a Vengeance ,"['Action', 'Crime', 'Thriller']",1995
168,First Knight ,"['Action', 'Drama', 'Romance']",1995
172,Johnny Mnemonic ,"['Action', 'Sci-Fi', 'Thriller']",1995
173,Judge Dredd ,"['Action', 'Crime', 'Sci-Fi']",1995
185,"Net, The ","['Action', 'Crime', 'Thriller']",1995
208,Waterworld ,"['Action', 'Adventure', 'Sci-Fi']",1995
223,Clerks ,['Comedy'],1994
225,Disclosure ,"['Drama', 'Thriller']",1994
231,Dumb & Dumber (Dumb and Dumber) ,"['Adventure', 'Comedy']",1994
235,Ed Wood ,"['Comedy', 'Drama']",1994
253,Interview with the Vampire: The Vampire Chronicles ,"['Drama', 'Horror']",1994
260,Star Wars: Episode IV - A New Hope ,"['Action', 'Adventure', 'Sci-Fi']",1977
266,Legends of the Fall ,"['Drama', 'Romance', 'War', 'Western']",1994
288,Natural Born Killers ,"['Action', 'Crime', 'Thriller']",1994
292,Outbreak ,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",1995
293,Léon: The Professional (a.k.a. The Professional) (Léon) ,"['Action', 'Crime', 'Drama', 'Thriller']",1994
296,Pulp Fiction ,"['Comedy', 'Crime', 'Drama', 'Thriller']",1994
300,Quiz Show ,['Drama'],1994
316,Stargate ,"['Action', 'Adventure', 'Sci-Fi']",1994
317,"Santa Clause, The ","['Comedy', 'Drama', 'Fantasy']",1994
318,"Shawshank Redemption, The ","['Crime', 'Drama']",1994
329,Star Trek: Generations ,"['Adventure', 'Drama', 'Sci-Fi']",1994
333,Tommy Boy ,['Comedy'],1995
337,What's Eating Gilbert Grape ,['Drama'],1993
339,While You Were Sleeping ,"['Comedy', 'Romance']",1995
344,Ace Ventura: Pet Detective ,['Comedy'],1994
349,Clear and Present Danger ,"['Action', 'Crime', 'Drama', 'Thriller']",1994
350,"Client, The ","['Drama', 'Mystery', 'Thriller']",1994
353,"Crow, The ","['Action', 'Crime', 'Fantasy', 'Thriller']",1994
356,Forrest Gump ,"['Comedy', 'Drama', 'Romance', 'War']",1994
357,Four Weddings and a Funeral ,"['Comedy', 'Romance']",1994
364,"Lion King, The ","['Adventure', 'Animation', 'Children', 'Drama', 'Musical', 'IMAX']",1994
367,"Mask, The ","['Action', 'Comedy', 'Crime', 'Fantasy']",1994
368,Maverick ,"['Adventure', 'Comedy', 'Western']",1994
370,Naked Gun 33 1/3: The Final Insult ,"['Action', 'Comedy']",1994
377,Speed ,"['Action', 'Romance', 'Thriller']",1994
380,True Lies ,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",1994
410,Addams Family Values ,"['Children', 'Comedy', 'Fantasy']",1993
420,Beverly Hills Cop III ,"['Action', 'Comedy', 'Crime', 'Thriller']",1994
432,City Slickers II: The Legend of Curly's Gold ,"['Adventure', 'Comedy', 'Western']",1994
434,Cliffhanger ,"['Action', 'Adventure', 'Thriller']",1993
435,Coneheads ,"['Comedy', 'Sci-Fi']",1993
440,Dave ,"['Comedy', 'Romance']",1993
442,Demolition Man ,"['Action', 'Adventure', 'Sci-Fi']",1993
454,"Firm, The ","['Drama', 'Thriller']",1993
457,"Fugitive, The ",['Thriller'],1993
466,Hot Shots! Part Deux ,"['Action', 'Comedy', 'War']",1993
474,In the Line of Fire ,"['Action', 'Thriller']",1993
480,Jurassic Park ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1993
485,Last Action Hero ,"['Action', 'Adventure', 'Comedy', 'Fantasy']",1993
500,Mrs. Doubtfire ,"['Comedy', 'Drama']",1993
508,Philadelphia ,['Drama'],1993
509,"Piano, The ","['Drama', 'Romance']",1993
520,Robin Hood: Men in Tights ,['Comedy'],1993
527,Schindler's List ,"['Drama', 'War']",1993
539,Sleepless in Seattle ,"['Comedy', 'Drama', 'Romance']",1993
541,Blade Runner ,"['Action', 'Sci-Fi', 'Thriller']",1982
551,"Nightmare Before Christmas, The ","['Animation', 'Children', 'Fantasy', 'Musical']",1993
552,"Three Musketeers, The ","['Action', 'Adventure', 'Comedy', 'Romance']",1993
553,Tombstone ,"['Action', 'Drama', 'Western']",1993
555,True Romance ,"['Crime', 'Thriller']",1993
586,Home Alone ,"['Children', 'Comedy']",1990
587,Ghost ,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Thriller']",1990
588,Aladdin ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Musical']",1992
589,Terminator 2: Judgment Day ,"['Action', 'Sci-Fi']",1991
590,Dances with Wolves ,"['Adventure', 'Drama', 'Western']",1990
592,Batman ,"['Action', 'Crime', 'Thriller']",1989
593,"Silence of the Lambs, The ","['Crime', 'Horror', 'Thriller']",1991
594,Snow White and the Seven Dwarfs ,"['Animation', 'Children', 'Drama', 'Fantasy', 'Musical']",1937
595,Beauty and the Beast ,"['Animation', 'Children', 'Fantasy', 'Musical', 'Romance', 'IMAX']",1991
596,Pinocchio ,"['Animation', 'Children', 'Fantasy', 'Musical']",1940
597,Pretty Woman ,"['Comedy', 'Romance']",1990
608,Fargo ,"['Comedy', 'Crime', 'Drama', 'Thriller']",1996
648,Mission: Impossible ,"['Action', 'Adventure', 'Mystery', 'Thriller']",1996
653,Dragonheart ,"['Action', 'Adventure', 'Fantasy']",1996
673,Space Jam ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']",1996
708,"Truth About Cats & Dogs, The ","['Comedy', 'Romance']",1996
733,"Rock, The ","['Action', 'Adventure', 'Thriller']",1996
736,Twister ,"['Action', 'Adventure', 'Romance', 'Thriller']",1996
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,"['Comedy', 'War']",1964
778,Trainspotting ,"['Comedy', 'Crime', 'Drama']",1996
780,Independence Day (a.k.a. ID4) ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1996
784,"Cable Guy, The ","['Comedy', 'Thriller']",1996
786,Eraser ,"['Action', 'Drama', 'Thriller']",1996
788,"Nutty Professor, The ","['Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",1996
858,"Godfather, The ","['Crime', 'Drama']",1972
903,Vertigo ,"['Drama', 'Mystery', 'Romance', 'Thriller']",1958
904,Rear Window ,"['Mystery', 'Thriller']",1954
908,North by Northwest ,"['Action', 'Adventure', 'Mystery', 'Romance', 'Thriller']",1959
910,Some Like It Hot ,"['Comedy', 'Crime']",1959
912,Casablanca ,"['Drama', 'Romance']",1942
919,"Wizard of Oz, The ","['Adventure', 'Children', 'Fantasy', 'Musical']",1939
923,Citizen Kane ,"['Drama', 'Mystery']",1941
924,2001: A Space Odyssey ,"['Adventure', 'Drama', 'Sci-Fi']",1968
953,It's a Wonderful Life ,"['Children', 'Drama', 'Fantasy', 'Romance']",1946
1028,Mary Poppins ,"['Children', 'Comedy', 'Fantasy', 'Musical']",1964
1035,"Sound of Music, The ","['Musical', 'Romance']",1965
1036,Die Hard ,"['Action', 'Crime', 'Thriller']",1988
1073,Willy Wonka & the Chocolate Factory ,"['Children', 'Comedy', 'Fantasy', 'Musical']",1971
1079,"Fish Called Wanda, A ","['Comedy', 'Crime']",1988
1080,Monty Python's Life of Brian ,['Comedy'],1979
1089,Reservoir Dogs ,"['Crime', 'Mystery', 'Thriller']",1992
1090,Platoon ,"['Drama', 'War']",1986
1097,E.T. the Extra-Terrestrial ,"['Children', 'Drama', 'Sci-Fi']",1982
1101,Top Gun ,"['Action', 'Romance']",1986
1127,"Abyss, The ","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1989
1136,Monty Python and the Holy Grail ,"['Adventure', 'Comedy', 'Fantasy']",1975
1148,Wallace & Gromit: The Wrong Trousers ,"['Animation', 'Children', 'Comedy', 'Crime']",1993
1193,One Flew Over the Cuckoo's Nest ,['Drama'],1975
1196,Star Wars: Episode V - The Empire Strikes Back ,"['Action', 'Adventure', 'Sci-Fi']",1980
1197,"Princess Bride, The ","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",1987
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) ,"['Action', 'Adventure']",1981
1199,Brazil ,"['Fantasy', 'Sci-Fi']",1985
1200,Aliens ,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",1986
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) ","['Action', 'Adventure', 'Western']",1966
1203,12 Angry Men ,['Drama'],1957
1206,"Clockwork Orange, A ","['Crime', 'Drama', 'Sci-Fi', 'Thriller']",1971
1207,To Kill a Mockingbird ,['Drama'],1962
1208,Apocalypse Now ,"['Action', 'Drama', 'War']",1979
1210,Star Wars: Episode VI - Return of the Jedi ,"['Action', 'Adventure', 'Sci-Fi']",1983
1213,Goodfellas ,"['Crime', 'Drama']",1990
1214,Alien ,"['Horror', 'Sci-Fi']",1979
1215,Army of Darkness ,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror']",1993
1219,Psycho ,"['Crime', 'Horror']",1960
1220,"Blues Brothers, The ","['Action', 'Comedy', 'Musical']",1980
1221,"Godfather: Part II, The ","['Crime', 'Drama']",1974
1222,Full Metal Jacket ,"['Drama', 'War']",1987
1225,Amadeus ,['Drama'],1984
1230,Annie Hall ,"['Comedy', 'Romance']",1977
1234,"Sting, The ","['Comedy', 'Crime']",1973
1240,"Terminator, The ","['Action', 'Sci-Fi', 'Thriller']",1984
1246,Dead Poets Society ,['Drama'],1989
1247,"Graduate, The ","['Comedy', 'Drama', 'Romance']",1967
1252,Chinatown ,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",1974
1258,"Shining, The ",['Horror'],1980
1259,Stand by Me ,"['Adventure', 'Drama']",1986
1265,Groundhog Day ,"['Comedy', 'Fantasy', 'Romance']",1993
1270,Back to the Future ,"['Adventure', 'Comedy', 'Sci-Fi']",1985
1276,Cool Hand Luke ,['Drama'],1967
1278,Young Frankenstein ,"['Comedy', 'Fantasy']",1974
1282,Fantasia ,"['Animation', 'Children', 'Fantasy', 'Musical']",1940
1288,This Is Spinal Tap ,['Comedy'],1984
1291,Indiana Jones and the Last Crusade ,"['Action', 'Adventure']",1989
1302,Field of Dreams ,"['Children', 'Drama', 'Fantasy']",1989
1304,Butch Cassidy and the Sundance Kid ,"['Action', 'Western']",1969
